"reviewID","prediction_test"
60001,0
60002,1
60003,0
60004,1
60005,1
60006,1
60007,0
60008,1
60009,1
60010,1
60011,0
60012,0
60013,1
60014,0
60015,1
60016,1
60017,1
60018,1
60019,0
60020,1
60021,1
60022,1
60023,1
60024,1
60025,1
60026,0
60027,1
60028,1
60029,0
60030,0
60031,1
60032,0
60033,0
60034,1
60035,1
60036,1
60037,0
60038,0
60039,1
60040,1
60041,0
60042,1
60043,1
60044,1
60045,0
60046,1
60047,0
60048,0
60049,0
60050,0
60051,1
60052,1
60053,0
60054,0
60055,0
60056,0
60057,1
60058,0
60059,0
60060,1
60061,1
60062,1
60063,1
60064,1
60065,1
60066,1
60067,0
60068,1
60069,1
60070,0
60071,1
60072,0
60073,1
60074,1
60075,1
60076,1
60077,1
60078,1
60079,1
60080,1
60081,1
60082,1
60083,1
60084,1
60085,1
60086,1
60087,1
60088,1
60089,1
60090,0
60091,1
60092,1
60093,1
60094,1
60095,1
60096,0
60097,0
60098,1
60099,1
60100,0
60101,1
60102,0
60103,1
60104,1
60105,1
60106,1
60107,0
60108,1
60109,1
60110,1
60111,1
60112,1
60113,1
60114,0
60115,1
60116,1
60117,1
60118,1
60119,1
60120,1
60121,0
60122,1
60123,0
60124,0
60125,0
60126,0
60127,1
60128,1
60129,1
60130,1
60131,0
60132,1
60133,1
60134,1
60135,1
60136,1
60137,1
60138,1
60139,0
60140,1
60141,0
60142,1
60143,0
60144,0
60145,1
60146,1
60147,0
60148,1
60149,0
60150,1
60151,1
60152,1
60153,0
60154,1
60155,1
60156,0
60157,0
60158,1
60159,1
60160,1
60161,1
60162,1
60163,1
60164,1
60165,1
60166,1
60167,1
60168,0
60169,1
60170,0
60171,1
60172,1
60173,1
60174,1
60175,1
60176,1
60177,0
60178,1
60179,1
60180,1
60181,1
60182,1
60183,0
60184,1
60185,1
60186,1
60187,1
60188,1
60189,1
60190,1
60191,0
60192,0
60193,0
60194,1
60195,0
60196,1
60197,0
60198,1
60199,1
60200,1
60201,0
60202,0
60203,1
60204,0
60205,1
60206,1
60207,1
60208,0
60209,1
60210,0
60211,1
60212,0
60213,0
60214,1
60215,0
60216,1
60217,0
60218,0
60219,0
60220,1
60221,1
60222,1
60223,0
60224,1
60225,1
60226,0
60227,1
60228,1
60229,1
60230,1
60231,1
60232,1
60233,1
60234,0
60235,1
60236,0
60237,0
60238,0
60239,1
60240,0
60241,1
60242,1
60243,1
60244,0
60245,1
60246,0
60247,0
60248,1
60249,1
60250,1
60251,1
60252,1
60253,0
60254,1
60255,0
60256,1
60257,1
60258,1
60259,0
60260,1
60261,1
60262,0
60263,1
60264,0
60265,1
60266,1
60267,0
60268,0
60269,1
60270,0
60271,1
60272,1
60273,1
60274,1
60275,1
60276,0
60277,1
60278,1
60279,0
60280,0
60281,0
60282,1
60283,1
60284,1
60285,1
60286,0
60287,0
60288,1
60289,0
60290,1
60291,1
60292,0
60293,1
60294,0
60295,0
60296,0
60297,0
60298,0
60299,0
60300,0
60301,0
60302,1
60303,1
60304,1
60305,0
60306,0
60307,1
60308,0
60309,1
60310,0
60311,0
60312,0
60313,1
60314,0
60315,0
60316,1
60317,1
60318,1
60319,1
60320,1
60321,1
60322,1
60323,1
60324,1
60325,0
60326,1
60327,1
60328,0
60329,0
60330,1
60331,1
60332,1
60333,0
60334,1
60335,0
60336,0
60337,1
60338,1
60339,1
60340,1
60341,0
60342,1
60343,1
60344,1
60345,1
60346,0
60347,1
60348,1
60349,0
60350,1
60351,1
60352,1
60353,0
60354,1
60355,1
60356,1
60357,1
60358,1
60359,0
60360,1
60361,1
60362,1
60363,1
60364,0
60365,1
60366,1
60367,1
60368,1
60369,1
60370,0
60371,1
60372,1
60373,0
60374,1
60375,1
60376,0
60377,1
60378,0
60379,1
60380,1
60381,1
60382,1
60383,1
60384,0
60385,1
60386,0
60387,0
60388,0
60389,0
60390,1
60391,0
60392,1
60393,1
60394,1
60395,1
60396,0
60397,1
60398,0
60399,1
60400,1
60401,0
60402,1
60403,1
60404,1
60405,0
60406,1
60407,1
60408,1
60409,1
60410,0
60411,1
60412,1
60413,1
60414,1
60415,1
60416,1
60417,0
60418,0
60419,0
60420,1
60421,1
60422,1
60423,1
60424,0
60425,0
60426,0
60427,0
60428,1
60429,0
60430,0
60431,0
60432,0
60433,0
60434,1
60435,1
60436,1
60437,0
60438,1
60439,0
60440,1
60441,1
60442,1
60443,1
60444,0
60445,0
60446,0
60447,1
60448,1
60449,0
60450,0
60451,1
60452,0
60453,1
60454,1
60455,1
60456,1
60457,0
60458,0
60459,1
60460,1
60461,1
60462,0
60463,1
60464,1
60465,1
60466,1
60467,1
60468,1
60469,0
60470,0
60471,0
60472,1
60473,1
60474,1
60475,0
60476,1
60477,1
60478,0
60479,0
60480,0
60481,1
60482,1
60483,1
60484,0
60485,0
60486,0
60487,1
60488,1
60489,1
60490,1
60491,0
60492,1
60493,0
60494,1
60495,0
60496,1
60497,0
60498,1
60499,1
60500,1
60501,1
60502,0
60503,0
60504,0
60505,1
60506,1
60507,1
60508,0
60509,1
60510,1
60511,1
60512,1
60513,1
60514,1
60515,0
60516,1
60517,0
60518,0
60519,1
60520,1
60521,1
60522,0
60523,1
60524,0
60525,1
60526,0
60527,1
60528,1
60529,0
60530,0
60531,0
60532,0
60533,0
60534,1
60535,1
60536,1
60537,0
60538,1
60539,1
60540,1
60541,1
60542,1
60543,0
60544,1
60545,1
60546,1
60547,1
60548,1
60549,0
60550,1
60551,1
60552,0
60553,0
60554,1
60555,0
60556,0
60557,1
60558,1
60559,1
60560,1
60561,0
60562,0
60563,1
60564,1
60565,1
60566,1
60567,0
60568,1
60569,1
60570,1
60571,1
60572,1
60573,0
60574,1
60575,0
60576,1
60577,1
60578,1
60579,1
60580,1
60581,1
60582,0
60583,1
60584,0
60585,0
60586,1
60587,1
60588,1
60589,0
60590,1
60591,0
60592,1
60593,0
60594,0
60595,0
60596,1
60597,1
60598,0
60599,1
60600,1
60601,0
60602,1
60603,1
60604,1
60605,0
60606,0
60607,1
60608,1
60609,0
60610,1
60611,1
60612,1
60613,1
60614,0
60615,1
60616,1
60617,1
60618,1
60619,0
60620,0
60621,0
60622,1
60623,0
60624,1
60625,1
60626,1
60627,1
60628,0
60629,1
60630,1
60631,1
60632,1
60633,0
60634,1
60635,1
60636,1
60637,1
60638,1
60639,0
60640,0
60641,1
60642,1
60643,1
60644,1
60645,0
60646,0
60647,0
60648,1
60649,0
60650,1
60651,1
60652,0
60653,1
60654,0
60655,0
60656,0
60657,0
60658,1
60659,0
60660,0
60661,1
60662,1
60663,1
60664,1
60665,1
60666,1
60667,0
60668,0
60669,0
60670,0
60671,0
60672,1
60673,0
60674,1
60675,1
60676,1
60677,1
60678,1
60679,1
60680,1
60681,1
60682,1
60683,1
60684,1
60685,1
60686,1
60687,1
60688,0
60689,1
60690,1
60691,0
60692,1
60693,1
60694,1
60695,1
60696,0
60697,1
60698,1
60699,1
60700,1
60701,0
60702,1
60703,1
60704,0
60705,1
60706,0
60707,1
60708,0
60709,1
60710,1
60711,1
60712,1
60713,1
60714,0
60715,0
60716,1
60717,0
60718,1
60719,0
60720,0
60721,1
60722,0
60723,0
60724,1
60725,0
60726,0
60727,1
60728,1
60729,1
60730,1
60731,1
60732,1
60733,1
60734,0
60735,1
60736,1
60737,0
60738,1
60739,1
60740,1
60741,0
60742,0
60743,1
60744,0
60745,1
60746,1
60747,1
60748,0
60749,1
60750,1
60751,1
60752,0
60753,1
60754,1
60755,0
60756,1
60757,0
60758,1
60759,1
60760,1
60761,0
60762,1
60763,0
60764,0
60765,0
60766,0
60767,1
60768,1
60769,0
60770,0
60771,0
60772,0
60773,1
60774,0
60775,1
60776,1
60777,1
60778,1
60779,0
60780,0
60781,1
60782,0
60783,0
60784,1
60785,1
60786,1
60787,0
60788,1
60789,1
60790,0
60791,1
60792,1
60793,0
60794,0
60795,1
60796,1
60797,0
60798,1
60799,0
60800,0
60801,1
60802,0
60803,1
60804,0
60805,0
60806,0
60807,0
60808,0
60809,0
60810,1
60811,1
60812,0
60813,0
60814,1
60815,1
60816,1
60817,1
60818,0
60819,0
60820,1
60821,1
60822,1
60823,0
60824,1
60825,1
60826,1
60827,1
60828,1
60829,1
60830,1
60831,1
60832,1
60833,1
60834,0
60835,1
60836,1
60837,1
60838,0
60839,1
60840,0
60841,1
60842,1
60843,1
60844,0
60845,1
60846,1
60847,1
60848,0
60849,0
60850,0
60851,0
60852,0
60853,0
60854,1
60855,1
60856,1
60857,1
60858,1
60859,1
60860,0
60861,0
60862,0
60863,1
60864,1
60865,0
60866,1
60867,1
60868,0
60869,1
60870,0
60871,0
60872,0
60873,0
60874,1
60875,0
60876,1
60877,0
60878,1
60879,1
60880,0
60881,0
60882,1
60883,1
60884,1
60885,1
60886,1
60887,1
60888,1
60889,1
60890,1
60891,1
60892,1
60893,1
60894,1
60895,1
60896,1
60897,1
60898,1
60899,1
60900,0
60901,0
60902,0
60903,1
60904,1
60905,0
60906,1
60907,1
60908,1
60909,1
60910,1
60911,1
60912,0
60913,1
60914,1
60915,1
60916,1
60917,1
60918,0
60919,1
60920,1
60921,1
60922,0
60923,1
60924,1
60925,1
60926,0
60927,1
60928,0
60929,1
60930,0
60931,1
60932,0
60933,1
60934,1
60935,1
60936,0
